2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
10088,Arndell Park,6.0,Y,Y,Y,Y
10116,Avon (NSW),0.0,Y,Y,Y,Y
10171,Banda Banda,0.0,Y,Y,Y,Y
10182,Bankstown Aerodrome,5.0,Y,Y,Y,Y
10193,Barcoongere,0.0,Y,Y,Y,Y
10201,Barigan,0.0,Y,Y,Y,Y
10204,Barneys Reef,0.0,Y,Y,Y,Y
10213,Barren Grounds,0.0,Y,Y,Y,Y
10218,Barrington Tops,0.0,Y,Y,Y,Y
10220,Barry (Tamworth Regional - NSW),0.0,Y,Y,Y,Y
10236,Baxters Ridge,0.0,Y,Y,Y,Y
10250,Beecroft Peninsula,0.0,Y,Y,Y,Y
10295,Bennetts Green,0.0,Y,Y,Y,Y
10306,Berlang,0.0,Y,Y,Y,Y
10358,Bimberi,0.0,Y,Y,Y,Y
10416,Blue Mountains National Park,0.0,Y,Y,Y,Y
10442,Bogong Peaks Wilderness,0.0,Y,Y,Y,Y
10451,Bom Bom,0.0,Y,Y,Y,Y
10464,Bondi Forest,0.0,Y,Y,Y,Y
10477,Bookookoorara,0.0,Y,Y,Y,Y
10478,Bookram,0.0,Y,Y,Y,Y
10483,Boolijah,0.0,Y,Y,Y,Y
10503,Booti Booti,0.0,Y,Y,Y,Y
10508,Border Ranges,0.0,Y,Y,Y,Y
10518,Bouddi,5.0,Y,Y,Y,Y
10536,Box Head,0.0,Y,Y,Y,Y
10568,Bril Bril,0.0,Y,Y,Y,Y
10571,Brinerville,0.0,Y,Y,Y,Y
10613,Brumby Plains,0.0,Y,Y,Y,Y
10621,Buangla,0.0,Y,Y,Y,Y
10636,Budderoo,0.0,Y,Y,Y,Y
10637,Buddong,0.0,Y,Y,Y,Y
10640,Budgewoi Peninsula,0.0,Y,Y,Y,Y
10647,Bulee,0.0,Y,Y,Y,Y
10651,Bulla (NSW),0.0,Y,Y,Y,Y
10715,Burrungubugge,43.0,Y,Y,Y,N
10726,Byadbo Wilderness,0.0,Y,Y,Y,Y
10746,Cairncross,0.0,Y,Y,Y,Y
10754,Callaghan,1358.0,Y,Y,Y,Y
10768,Cambridge Plateau,0.0,Y,Y,Y,Y
10773,Camellia,0.0,Y,Y,Y,Y
10782,Campvale,0.0,Y,Y,Y,Y
10824,Carrai,0.0,Y,Y,Y,Y
10853,Cataract,4.0,Y,Y,Y,Y
10871,Cells River,0.0,Y,Y,Y,Y
10878,Chaelundi,0.0,Y,Y,Y,Y
10883,Charles Sturt University,433.0,Y,Y,Y,Y
10913,Chullora,14.0,Y,Y,Y,Y
10926,Clearfield,0.0,Y,Y,Y,Y
10936,Clouds Creek,0.0,Y,Y,Y,Y
10940,Clyde (NSW),9.0,Y,Y,Y,Y
10980,Collum Collum,0.0,Y,Y,Y,Y
10986,Colongra,0.0,Y,Y,Y,Y
11027,Coolangubra,0.0,Y,Y,Y,Y
11029,Cooleman,0.0,Y,Y,Y,Y
11045,Coongbar,0.0,Y,Y,Y,Y
11069,Cordeaux,0.0,Y,Y,Y,Y
