sal_code,sal_name,irsad_score,irsad_decile,ier_score,population
20001,Abbeyard,1005.323809,7.0,999.534319,4.0
20002,Abbotsford (Vic.),1127.114731,10.0,951.2176597,9088.0
20003,Aberfeldie,1101.432139,10.0,1074.158962,3925.0
20005,Acheron,1021.129949,7.0,1073.140652,146.0
20007,Adams Estate,946.2976787,3.0,1016.397525,83.0
20008,Addington,1037.610668,8.0,1039.01403,65.0
20009,Adelaide Lead,873.981806,1.0,969.4512641,85.0
20010,Agnes,1003.307774,6.0,1015.124123,61.0
20011,Aintree,1054.347531,9.0,1110.097673,7982.0
20013,Aireys Inlet,1067.303119,9.0,1042.419739,979.0
20014,Airly,1006.026521,7.0,1081.735446,160.0
20015,Airport West,1018.382098,7.0,994.3945494,8173.0
20017,Albanvale,864.941977,1.0,935.7573161,5641.0
20018,Albert Park (Vic.),1132.144966,10.0,1017.409361,6044.0
20019,Alberton (Vic.),925.4931847,2.0,998.0346177,297.0
20020,Alberton West,947.2329461,3.0,1012.470411,76.0
20021,Albion (Vic.),937.3737452,3.0,880.6407966,4334.0
20022,Alexandra (Vic.),940.1900288,3.0,960.7591437,2801.0
20023,Alfredton,1005.159719,7.0,1022.829243,11822.0
20024,Allambee,1030.197459,8.0,1053.77799,24.0
20025,Allambee Reserve,1021.342358,7.0,1054.067229,96.0
20026,Allambee South,986.7331454,6.0,1047.466493,61.0
20027,Allans Flat,1069.253521,9.0,1125.826487,297.0
20028,Allansford,981.5723118,5.0,1043.106813,1410.0
20029,Allendale,980.9896098,5.0,1036.86057,185.0
20030,Allestree,918.2482526,2.0,962.471318,168.0
20031,Alma (Vic.),899.0302299,2.0,1015.029213,195.0
20032,Almonds,940.7234463,3.0,1005.821748,31.0
20033,Almurta,1016.784828,7.0,1083.291641,66.0
20034,Alphington,1128.06269,10.0,1034.64763,5702.0
20035,Altona (Vic.),1045.863232,9.0,999.5929884,11490.0
20036,Altona Meadows,967.0987656,4.0,978.4021601,18479.0
20037,Altona North,989.9005195,6.0,962.3962583,12962.0
20038,Alvie,952.2022927,4.0,1019.898414,141.0
20039,Amherst,873.981806,1.0,969.4512641,63.0
20040,Amor,940.7706423,3.0,950.0498547,4.0
20041,Amphitheatre,927.1037179,3.0,978.8074455,223.0
20042,Anakie,1020.222477,7.0,1066.21982,734.0
20043,Ancona,985.8184118,5.0,1031.774719,99.0
20044,Anderson,931.4892898,3.0,1008.568186,26.0
20045,Anglers Rest,945.8598489,3.0,985.2685666,31.0
20046,Anglesea,1067.377673,9.0,1038.871171,3208.0
20047,Annuello,942.7537962,3.0,934.9428274,40.0
20048,Antwerp,1016.559451,7.0,1051.16165,53.0
20049,Apollo Bay (Vic.),958.5494314,4.0,953.7378137,1790.0
20050,Appin (Vic.),979.7786935,5.0,1019.189356,12.0
20051,Appin South,1018.966388,7.0,1050.383247,38.0
20052,Apsley (Vic.),930.495569,3.0,995.130518,329.0
20053,Ararat,904.3175487,2.0,936.8420871,8500.0
20054,Arawata,1037.767166,8.0,1077.801351,92.0
20056,Arcadia (Vic.),1019.904245,7.0,1034.626977,212.0
20057,Arcadia South,963.0486848,4.0,1039.412219,95.0
20058,Archdale,886.0028912,1.0,955.197494,23.0
20059,Archdale Junction,859.7790805,1.0,941.0192325,12.0
20060,Archerton,975.0600208,5.0,1010.402123,16.0
20061,Archies Creek,984.3905883,5.0,1042.410841,32.0
20062,Ardeer,920.963074,2.0,911.1959643,3170.0
20063,Ardmona,928.3640114,3.0,990.8448747,497.0
20064,Areegra,1027.892973,8.0,1062.612517,18.0
20065,Argyle (Vic.),889.3350922,1.0,946.5252581,272.0
20066,Armadale (Vic.),1129.957291,10.0,985.9499656,9368.0
20067,Armstrong,1010.759881,7.0,1076.921447,90.0
20068,Armstrong Creek (Vic.),1036.375792,8.0,1057.214129,11247.0
20069,Arnold (Vic.),919.2210124,2.0,974.8670627,56.0
20070,Arnold West,919.2210124,2.0,974.8670627,19.0
20071,Arthurs Creek,1087.699192,10.0,1119.282851,478.0
20072,Arthurs Seat,1104.008403,10.0,1143.058167,414.0
20073,Ascot (Ballarat - Vic.),1020.279655,7.0,1052.652141,93.0
20074,Ascot (Greater Bendigo - Vic.),981.3733645,5.0,1043.528683,2571.0
20075,Ascot Vale,1061.958158,9.0,981.2073322,15197.0
20076,Ashbourne (Vic.),1118.006802,10.0,1132.67159,242.0
20077,Ashburton,1125.857939,10.0,1070.364488,7952.0
20078,Ashwood,1061.626486,9.0,1001.772488,7154.0
20079,Aspendale,1087.155997,10.0,1074.305484,7285.0
20080,Aspendale Gardens,1062.989295,9.0,1090.086894,6427.0
20081,Athlone,962.7124838,4.0,1026.967257,147.0
20082,Attwood,1035.72137,8.0,1085.623778,3309.0
20083,Aubrey,1027.892973,8.0,1062.612517,3.0
20084,Auchmore,992.7038255,6.0,1020.424847,5.0
20085,Avalon,1008.243694,7.0,1075.010691,255.0
20086,Avenel,976.3580787,5.0,1025.570042,1112.0
20087,Avoca (Vic.),891.3724396,2.0,936.8001725,1356.0
20088,Avon Plains,1029.99873,8.0,1036.614841,8.0
20089,Avondale Heights,1011.716268,7.0,1016.122818,12388.0
20090,Avonmore,1006.190641,7.0,1054.946923,42.0
20091,Avonsleigh,1039.441211,8.0,1090.374999,844.0
20092,Axe Creek,1059.929294,9.0,1109.659476,452.0
20093,Axedale,996.5650903,6.0,1072.204395,984.0
20094,Ayrford,1021.86014,7.0,1057.420664,39.0
20095,Bacchus Marsh,967.3432663,4.0,985.5329191,7808.0
20096,Baddaginnie,943.1489547,3.0,1024.701972,347.0
