station_name,line_name,suburb,lat,lng,is_cbd,irsad_score,irsad_decile,ier_score,population
Auburn,Alamein,Hawthorn East,-37.82239831,145.04584366,False,1132.013191,10.0,1015.381973,14834.0
East Richmond,Alamein,Richmond,-37.82639995,144.99706569,False,1103.618219,10.0,935.6748446,28587.0
Ashburton,Alamein,Ashburton,-37.86196753,145.08134376,False,1125.857939,10.0,1070.364488,7952.0
Camberwell,Alamein,Camberwell,-37.82656714,145.05869718,False,1136.993127,10.0,1066.898419,21965.0
Alamein,Alamein,Ashburton,-37.86832039,145.07965567,False,1125.857939,10.0,1070.364488,7952.0
Riversdale,Alamein,Hawthorn East,-37.83150543,145.06964598,False,1132.013191,10.0,1015.381973,14834.0
Southern Cross,Alamein,Melbourne,-37.8186631,144.95277706,True,1075.830416,10.0,787.8671559,54941.0
Burwood,Alamein,Burwood,-37.85156328,145.08051107,False,1060.101111,9.0,967.2483294,15147.0
Flagstaff,Alamein,Melbourne,-37.8119815,144.95566511,True,1075.830416,10.0,787.8671559,54941.0
Flinders Street,Alamein,Melbourne,-37.81830513,144.96696435,True,1075.830416,10.0,787.8671559,54941.0
Hawthorn,Alamein,Hawthorn,-37.82182601,145.02289866,False,1128.074772,10.0,988.099048,22322.0
Richmond,Alamein,Richmond,-37.82407446,144.99016426,True,1103.618219,10.0,935.6748446,28587.0
Parliament,Alamein,Melbourne,-37.811337,144.973119,True,1075.830416,10.0,787.8671559,54941.0
Burnley,Alamein,Burnley,-37.82756022,145.00755515,False,1139.663132,10.0,985.7947042,794.0
Melbourne Central,Alamein,Melbourne,-37.80993896,144.96260489,True,1075.830416,10.0,787.8671559,54941.0
Hartwell,Alamein,Camberwell,-37.84398457,145.07555959,False,1136.993127,10.0,1066.898419,21965.0
Willison,Alamein,Hawthorn,-37.83571565,145.07029756,False,1128.074772,10.0,988.099048,22322.0
Glenferrie,Alamein,Hawthorn,-37.82146682,145.03643883,False,1128.074772,10.0,988.099048,22322.0
Auburn,Belgrave,Hawthorn East,-37.82239831,145.04584366,False,1132.013191,10.0,1015.381973,14834.0
Camberwell,Belgrave,Camberwell,-37.82656714,145.05869718,False,1136.993127,10.0,1066.898419,21965.0
Tecoma,Belgrave,Tecoma,-37.90811849,145.34299458,False,1041.483822,8.0,1043.181837,2064.0
Canterbury,Belgrave,Canterbury,-37.82448518,145.08122424,False,1146.17499,10.0,1087.037371,7800.0
Blackburn,Belgrave,Blackburn,-37.82007075,145.15001354,False,1095.447577,10.0,1038.943245,14478.0
Hawthorn,Belgrave,Hawthorn,-37.82182601,145.02289866,False,1128.074772,10.0,988.099048,22322.0
Union,Belgrave,Ringwood,-37.82315506,145.10034527,False,1021.680585,7.0,978.1524495,19144.0
Chatham,Belgrave,Surrey Hills,-37.82429952,145.08864793,False,1137.817922,10.0,1079.277846,13655.0
Melbourne Central,Belgrave,Melbourne,-37.80993896,144.96260489,True,1075.830416,10.0,787.8671559,54941.0
Upwey,Belgrave,Upwey,-37.90369097,145.33133336,False,1051.835982,9.0,1077.167868,6818.0
East Camberwell,Belgrave,Camberwell,-37.82589419,145.06819025,False,1136.993127,10.0,1066.898419,21965.0
Upper Ferntree Gully,Belgrave,Upper Ferntree Gully,-37.8926717,145.30753019,False,1026.95979,8.0,1048.649136,3417.0
Box Hill,Belgrave,Box Hill,-37.81922165,145.12142893,False,1018.854171,7.0,875.5843822,14353.0
Nunawading,Belgrave,Nunawading,-37.82061218,145.1748915,False,1058.587276,9.0,1011.775285,12413.0
Heatherdale,Belgrave,Mitcham,-37.8188232,145.21397044,False,1074.610245,10.0,1028.123199,16795.0
Ringwood,Belgrave,Ringwood,-37.81588648,145.22896846,False,1021.680585,7.0,978.1524495,19144.0
Bayswater,Belgrave,Bayswater,-37.84173004,145.26813639,False,986.3578771,5.0,983.2518915,12262.0
Mitcham,Belgrave,Mitcham,-37.81816668,145.19220824,False,1074.610245,10.0,1028.123199,16795.0
Laburnum,Belgrave,Blackburn,-37.82078023,145.14070271,False,1095.447577,10.0,1038.943245,14478.0
Ferntree Gully,Belgrave,Ferntree Gully,-37.88169799,145.29525126,False,1005.146682,7.0,1020.10359,27398.0
Belgrave,Belgrave,Belgrave,-37.9091021,145.35529128,False,1053.548636,9.0,1065.567552,3894.0
Flagstaff,Belgrave,Melbourne,-37.8119815,144.95566511,True,1075.830416,10.0,787.8671559,54941.0
Burnley,Belgrave,Burnley,-37.82756022,145.00755515,False,1139.663132,10.0,985.7947042,794.0
Parliament,Belgrave,Melbourne,-37.811337,144.973119,True,1075.830416,10.0,787.8671559,54941.0
Glenferrie,Belgrave,Hawthorn,-37.82146682,145.03643883,False,1128.074772,10.0,988.099048,22322.0
East Richmond,Belgrave,Richmond,-37.82639995,144.99706569,False,1103.618219,10.0,935.6748446,28587.0
Boronia,Belgrave,Boronia,-37.86040238,145.28470457,False,991.7487506,6.0,992.12186,23607.0
Southern Cross,Belgrave,Melbourne,-37.8186631,144.95277706,True,1075.830416,10.0,787.8671559,54941.0
Flinders Street,Belgrave,Melbourne,-37.81830513,144.96696435,True,1075.830416,10.0,787.8671559,54941.0
