station_id,station_name,line_name,route_id,lat,lng
vic:rail:AUB,Auburn,Alamein - City,aus:vic:vic-02-ALM:,-37.82239831,145.04584366
vic:rail:ERM,East Richmond,Alamein - City,aus:vic:vic-02-ALM:,-37.82639995,144.99706569
vic:rail:ASH,Ashburton,Alamein - City,aus:vic:vic-02-ALM:,-37.86196753,145.08134376
vic:rail:CAM,Camberwell,Alamein - City,aus:vic:vic-02-ALM:,-37.82656714,145.05869718
vic:rail:ALM,Alamein,Alamein - City,aus:vic:vic-02-ALM:,-37.86832039,145.07965567
vic:rail:RIV,Riversdale,Alamein - City,aus:vic:vic-02-ALM:,-37.83150543,145.06964598
vic:rail:SSS,Southern Cross,Alamein - City,aus:vic:vic-02-ALM:,-37.8186631,144.95277706
vic:rail:BWD,Burwood,Alamein - City,aus:vic:vic-02-ALM:,-37.85156328,145.08051107
vic:rail:FGS,Flagstaff,Alamein - City,aus:vic:vic-02-ALM:,-37.8119815,144.95566511
vic:rail:FSS,Flinders Street,Alamein - City,aus:vic:vic-02-ALM:,-37.81830513,144.96696435
vic:rail:HAW,Hawthorn,Alamein - City,aus:vic:vic-02-ALM:,-37.82182601,145.02289866
vic:rail:RMD,Richmond,Alamein - City,aus:vic:vic-02-ALM:,-37.82407446,144.99016426
vic:rail:PAR,Parliament,Alamein - City,aus:vic:vic-02-ALM:,-37.811337,144.973119
vic:rail:BLY,Burnley,Alamein - City,aus:vic:vic-02-ALM:,-37.82756022,145.00755515
vic:rail:MCE,Melbourne Central,Alamein - City,aus:vic:vic-02-ALM:,-37.80993896,144.96260489
vic:rail:HWL,Hartwell,Alamein - City,aus:vic:vic-02-ALM:,-37.84398457,145.07555959
vic:rail:WSN,Willison,Alamein - City,aus:vic:vic-02-ALM:,-37.83571565,145.07029756
vic:rail:GFE,Glenferrie,Alamein - City,aus:vic:vic-02-ALM:,-37.82146682,145.03643883
vic:rail:AUB,Auburn,Belgrave - City,aus:vic:vic-02-BEG:,-37.82239831,145.04584366
vic:rail:CAM,Camberwell,Belgrave - City,aus:vic:vic-02-BEG:,-37.82656714,145.05869718
vic:rail:TCM,Tecoma,Belgrave - City,aus:vic:vic-02-BEG:,-37.90811849,145.34299458
vic:rail:CBY,Canterbury,Belgrave - City,aus:vic:vic-02-BEG:,-37.82448518,145.08122424
vic:rail:BBN,Blackburn,Belgrave - City,aus:vic:vic-02-BEG:,-37.82007075,145.15001354
vic:rail:HAW,Hawthorn,Belgrave - City,aus:vic:vic-02-BEG:,-37.82182601,145.02289866
vic:rail:UNN,Union,Belgrave - City,aus:vic:vic-02-BEG:,-37.82315506,145.10034527
vic:rail:CHM,Chatham,Belgrave - City,aus:vic:vic-02-BEG:,-37.82429952,145.08864793
vic:rail:MCE,Melbourne Central,Belgrave - City,aus:vic:vic-02-BEG:,-37.80993896,144.96260489
vic:rail:UPW,Upwey,Belgrave - City,aus:vic:vic-02-BEG:,-37.90369097,145.33133336
vic:rail:ECM,East Camberwell,Belgrave - City,aus:vic:vic-02-BEG:,-37.82589419,145.06819025
vic:rail:UFG,Upper Ferntree Gully,Belgrave - City,aus:vic:vic-02-BEG:,-37.8926717,145.30753019
vic:rail:BOX,Box Hill,Belgrave - City,aus:vic:vic-02-BEG:,-37.81922165,145.12142893
vic:rail:NWG,Nunawading,Belgrave - City,aus:vic:vic-02-BEG:,-37.82061218,145.1748915
vic:rail:HTD,Heatherdale,Belgrave - City,aus:vic:vic-02-BEG:,-37.8188232,145.21397044
vic:rail:RWD,Ringwood,Belgrave - City,aus:vic:vic-02-BEG:,-37.81588648,145.22896846
vic:rail:BAY,Bayswater,Belgrave - City,aus:vic:vic-02-BEG:,-37.84173004,145.26813639
vic:rail:MCH,Mitcham,Belgrave - City,aus:vic:vic-02-BEG:,-37.81816668,145.19220824
vic:rail:LAB,Laburnum,Belgrave - City,aus:vic:vic-02-BEG:,-37.82078023,145.14070271
vic:rail:FTG,Ferntree Gully,Belgrave - City,aus:vic:vic-02-BEG:,-37.88169799,145.29525126
vic:rail:BEG,Belgrave,Belgrave - City,aus:vic:vic-02-BEG:,-37.9091021,145.35529128
vic:rail:FGS,Flagstaff,Belgrave - City,aus:vic:vic-02-BEG:,-37.8119815,144.95566511
vic:rail:BLY,Burnley,Belgrave - City,aus:vic:vic-02-BEG:,-37.82756022,145.00755515
vic:rail:PAR,Parliament,Belgrave - City,aus:vic:vic-02-BEG:,-37.811337,144.973119
vic:rail:GFE,Glenferrie,Belgrave - City,aus:vic:vic-02-BEG:,-37.82146682,145.03643883
vic:rail:ERM,East Richmond,Belgrave - City,aus:vic:vic-02-BEG:,-37.82639995,144.99706569
vic:rail:BOR,Boronia,Belgrave - City,aus:vic:vic-02-BEG:,-37.86040238,145.28470457
vic:rail:SSS,Southern Cross,Belgrave - City,aus:vic:vic-02-BEG:,-37.8186631,144.95277706
vic:rail:FSS,Flinders Street,Belgrave - City,aus:vic:vic-02-BEG:,-37.81830513,144.96696435
vic:rail:HMT,Heathmont,Belgrave - City,aus:vic:vic-02-BEG:,-37.82832227,145.24455538
