line,financial_year,punctuality_pct,reliability_pct,cancelled_pct
Alamein,2000-2001,96.3,99.61,
Alamein,2001-2002,96.73,99.74,
Alamein,2002-2003,96.58,99.53,
Alamein,2003-2004,95.84,99.22,
Alamein,2004-2005,94.29,99.13,
Alamein,2005-2006,93.23,98.86,
Alamein,2006-2007,93.16,98.92,
Alamein,2007-2008,93.47,98.74,
Alamein,2008-2009,93.6,98.94,
Alamein,2009-2010,91.52,99.12,
Alamein,2010-2011,91.29,99.04,
Alamein,2011-2012,90.38,98.92,
Alamein,2012-2013,93.72,98.73,
Alamein,2013-2014,95.98,99.25,
Alamein,2014-2015,94.93,99.31,
Alamein,2015-2016,93.85,99.23,
Alamein,2016-2017,93.24,99.02,
Alamein,2017-2018,93.04,99.19,
Alamein,2018-2019,93.16,99.03,
Alamein,2019-2020,94.4,99.11,
Alamein,2020-2021,96.58,99.3,
Alamein,2021-2022,94.52,98.76,1.11
Alamein,2022-2023,93.1,99.07,0.8
Alamein,2023-2024,93.64,99.35,0.52
Alamein,2024-2025,94.96,99.5,0.41
Alamein,2025-2026,95.45,99.37,0.52
Belgrave,2000-2001,94.94,99.19,
Belgrave,2001-2002,95.04,99.63,
Belgrave,2002-2003,93.95,99.53,
Belgrave,2003-2004,93.26,99.22,
Belgrave,2004-2005,91.71,99.0,
Belgrave,2005-2006,89.49,99.0,
Belgrave,2006-2007,90.05,99.1,
Belgrave,2007-2008,89.46,98.86,
Belgrave,2008-2009,89.12,98.81,
Belgrave,2009-2010,86.85,99.19,
Belgrave,2010-2011,87.36,98.94,
Belgrave,2011-2012,87.04,98.9,
Belgrave,2012-2013,90.2,98.51,
Belgrave,2013-2014,93.04,99.02,
Belgrave,2014-2015,90.69,99.01,
Belgrave,2015-2016,89.96,98.88,
Belgrave,2016-2017,89.82,98.69,
Belgrave,2017-2018,90.61,99.02,
Belgrave,2018-2019,88.56,98.78,
Belgrave,2019-2020,92.0,99.03,
Belgrave,2020-2021,94.75,99.27,
Belgrave,2021-2022,91.55,98.55,1.06
Belgrave,2022-2023,91.31,98.92,0.72
Belgrave,2023-2024,91.52,99.13,0.42
Belgrave,2024-2025,91.76,98.75,0.54
Belgrave,2025-2026,92.13,99.22,0.31
Craigieburn,2000-2001,96.19,99.42,
Craigieburn,2001-2002,96.99,99.48,
Craigieburn,2002-2003,97.43,99.56,
Craigieburn,2003-2004,96.15,98.56,
Craigieburn,2004-2005,93.84,98.35,
Craigieburn,2005-2006,91.18,99.05,
Craigieburn,2006-2007,91.21,98.84,
Craigieburn,2007-2008,86.49,98.56,
Craigieburn,2008-2009,86.83,98.62,
Craigieburn,2009-2010,83.99,98.96,
Craigieburn,2010-2011,85.08,98.98,
Craigieburn,2011-2012,88.02,98.54,
Craigieburn,2012-2013,89.75,97.82,
Craigieburn,2013-2014,91.71,98.65,
Craigieburn,2014-2015,92.36,98.54,
Craigieburn,2015-2016,92.02,98.18,
Craigieburn,2016-2017,91.19,98.72,
Craigieburn,2017-2018,88.24,98.53,
Craigieburn,2018-2019,88.89,98.35,
Craigieburn,2019-2020,90.42,98.3,
Craigieburn,2020-2021,94.17,98.74,
Craigieburn,2021-2022,91.14,97.35,2.48
Craigieburn,2022-2023,88.44,98.47,1.32
Craigieburn,2023-2024,87.64,98.48,1.27
Craigieburn,2024-2025,87.95,98.52,1.21
Craigieburn,2025-2026,90.25,98.75,1.02
Cranbourne,2000-2001,92.68,98.99,
Cranbourne,2001-2002,93.85,98.76,
Cranbourne,2002-2003,95.16,99.4,
Cranbourne,2003-2004,90.31,98.21,
Cranbourne,2004-2005,80.89,98.35,
Cranbourne,2005-2006,81.77,99.06,
Cranbourne,2006-2007,82.3,98.99,
Cranbourne,2007-2008,81.44,98.9,
Cranbourne,2008-2009,82.91,98.34,
Cranbourne,2009-2010,81.99,99.16,
Cranbourne,2010-2011,79.85,98.84,
Cranbourne,2011-2012,87.5,98.15,
Cranbourne,2012-2013,88.41,97.96,
Cranbourne,2013-2014,89.38,98.63,
Cranbourne,2014-2015,89.98,98.11,
Cranbourne,2015-2016,88.08,97.91,
Cranbourne,2016-2017,86.44,98.39,
Cranbourne,2017-2018,89.2,97.91,
Cranbourne,2018-2019,85.41,97.81,
Cranbourne,2019-2020,88.02,98.17,
Cranbourne,2020-2021,92.48,98.78,
Cranbourne,2021-2022,93.65,96.92,2.66
Cranbourne,2022-2023,93.86,98.37,1.33
Cranbourne,2023-2024,94.19,98.67,1.07
Cranbourne,2024-2025,94.6,98.73,0.96
Cranbourne,2025-2026,96.28,99.26,0.53
Frankston,2000-2001,93.29,98.83,
Frankston,2001-2002,94.0,98.78,
Frankston,2002-2003,94.45,99.11,
Frankston,2003-2004,89.96,97.5,
Frankston,2004-2005,86.98,97.77,
Frankston,2005-2006,84.08,98.74,
Frankston,2006-2007,81.89,98.41,
Frankston,2007-2008,79.4,98.6,
Frankston,2008-2009,77.66,98.22,
Frankston,2009-2010,73.3,98.65,
Frankston,2010-2011,71.04,98.28,
Frankston,2011-2012,88.48,97.88,
Frankston,2012-2013,91.13,97.81,
Frankston,2013-2014,90.52,98.3,
Frankston,2014-2015,90.13,98.24,
Frankston,2015-2016,90.28,98.17,
Frankston,2016-2017,89.51,98.29,
Frankston,2017-2018,90.15,98.6,
Frankston,2018-2019,89.23,97.83,
Frankston,2019-2020,88.57,97.62,
Frankston,2020-2021,93.4,98.13,
Frankston,2021-2022,91.62,97.28,2.55
Frankston,2022-2023,89.62,98.05,1.67
Frankston,2023-2024,93.37,98.4,1.26
Frankston,2024-2025,92.47,98.58,1.15
Frankston,2025-2026,92.6,98.76,0.98
Glen Waverley,2000-2001,96.04,99.4,
Glen Waverley,2001-2002,96.07,99.61,
Glen Waverley,2002-2003,95.83,99.46,
Glen Waverley,2003-2004,95.54,99.32,
Glen Waverley,2004-2005,94.95,98.78,
Glen Waverley,2005-2006,93.7,98.98,
Glen Waverley,2006-2007,93.24,98.94,
Glen Waverley,2007-2008,92.27,98.83,
Glen Waverley,2008-2009,92.73,98.66,
Glen Waverley,2009-2010,90.94,99.03,
Glen Waverley,2010-2011,93.74,99.25,
Glen Waverley,2011-2012,94.44,98.76,
Glen Waverley,2012-2013,95.53,99.11,
Glen Waverley,2013-2014,96.76,99.52,
Glen Waverley,2014-2015,96.13,99.37,
Glen Waverley,2015-2016,96.2,99.02,
Glen Waverley,2016-2017,96.59,99.36,
Glen Waverley,2017-2018,96.55,99.32,
Glen Waverley,2018-2019,96.01,98.9,
Glen Waverley,2019-2020,96.77,99.13,
Glen Waverley,2020-2021,98.08,99.34,
Glen Waverley,2021-2022,97.15,98.84,1.04
Glen Waverley,2022-2023,96.85,99.33,0.53
Glen Waverley,2023-2024,96.9,99.26,0.51
Glen Waverley,2024-2025,97.03,99.31,0.51
Glen Waverley,2025-2026,97.55,99.38,0.47
Hurstbridge,2000-2001,93.86,99.42,
Hurstbridge,2001-2002,93.31,99.56,
Hurstbridge,2002-2003,92.85,99.52,
Hurstbridge,2003-2004,91.82,99.36,
Hurstbridge,2004-2005,89.59,99.02,
Hurstbridge,2005-2006,89.32,98.95,
Hurstbridge,2006-2007,87.69,98.56,
Hurstbridge,2007-2008,86.78,98.78,
Hurstbridge,2008-2009,86.74,98.49,
Hurstbridge,2009-2010,86.93,98.65,
Hurstbridge,2010-2011,89.71,98.87,
Hurstbridge,2011-2012,89.78,98.36,
Hurstbridge,2012-2013,95.17,98.81,
Hurstbridge,2013-2014,95.68,99.19,
Hurstbridge,2014-2015,94.18,99.15,
Hurstbridge,2015-2016,93.78,99.03,
Hurstbridge,2016-2017,93.45,99.14,
Hurstbridge,2017-2018,93.47,98.99,
Hurstbridge,2018-2019,92.98,98.75,
Hurstbridge,2019-2020,94.38,98.98,
Hurstbridge,2020-2021,96.01,99.24,
Hurstbridge,2021-2022,94.57,98.84,0.85
Hurstbridge,2022-2023,92.8,98.99,0.69
Hurstbridge,2023-2024,93.09,98.75,0.85
Hurstbridge,2024-2025,94.19,99.03,0.68
Hurstbridge,2025-2026,95.06,97.13,2.65
Lilydale,2000-2001,95.0,99.01,
Lilydale,2001-2002,94.54,99.44,
Lilydale,2002-2003,94.13,99.16,
Lilydale,2003-2004,93.4,98.51,
Lilydale,2004-2005,92.05,98.2,
Lilydale,2005-2006,90.08,98.49,
Lilydale,2006-2007,90.12,97.98,
Lilydale,2007-2008,89.82,98.08,
Lilydale,2008-2009,90.26,97.89,
Lilydale,2009-2010,86.84,98.32,
Lilydale,2010-2011,88.78,98.24,
Lilydale,2011-2012,88.9,98.13,
Lilydale,2012-2013,91.28,97.64,
Lilydale,2013-2014,93.72,99.03,
Lilydale,2014-2015,91.99,98.52,
Lilydale,2015-2016,91.01,98.31,
Lilydale,2016-2017,90.91,98.46,
Lilydale,2017-2018,91.75,98.33,
Lilydale,2018-2019,90.12,98.06,
Lilydale,2019-2020,92.77,98.28,
Lilydale,2020-2021,95.76,98.7,
Lilydale,2021-2022,93.85,98.41,1.29
Lilydale,2022-2023,93.39,98.99,0.76
Lilydale,2023-2024,94.4,98.93,0.71
Lilydale,2024-2025,94.7,98.88,0.71
Lilydale,2025-2026,95.12,99.19,0.49
Mernda,2000-2001,95.04,99.54,
Mernda,2001-2002,95.15,99.61,
Mernda,2002-2003,94.76,99.64,
Mernda,2003-2004,94.32,99.43,
Mernda,2004-2005,93.69,99.23,
Mernda,2005-2006,92.85,99.07,
Mernda,2006-2007,92.21,98.81,
Mernda,2007-2008,91.78,98.93,
Mernda,2008-2009,91.34,98.69,
Mernda,2009-2010,90.18,99.25,
Mernda,2010-2011,91.67,99.23,
Mernda,2011-2012,92.72,98.93,
Mernda,2012-2013,96.26,99.15,
Mernda,2013-2014,96.63,99.37,
Mernda,2014-2015,95.13,99.47,
Mernda,2015-2016,95.05,99.16,
Mernda,2016-2017,94.6,99.27,
Mernda,2017-2018,93.84,99.07,
Mernda,2018-2019,93.24,98.49,
Mernda,2019-2020,94.03,98.73,
Mernda,2020-2021,96.2,99.1,
Mernda,2021-2022,95.79,98.34,1.37
Mernda,2022-2023,94.58,99.09,0.67
Mernda,2023-2024,94.3,98.83,0.89
Mernda,2024-2025,94.87,98.98,0.77
Mernda,2025-2026,95.76,98.05,1.15
Pakenham,2000-2001,91.84,99.32,
Pakenham,2001-2002,93.18,99.23,
Pakenham,2002-2003,93.77,99.44,
Pakenham,2003-2004,89.05,98.2,
Pakenham,2004-2005,83.02,98.28,
Pakenham,2005-2006,83.58,99.2,
Pakenham,2006-2007,78.21,98.51,
Pakenham,2007-2008,76.81,98.62,
Pakenham,2008-2009,76.5,98.22,
Pakenham,2009-2010,73.74,98.77,
Pakenham,2010-2011,73.77,98.45,
Pakenham,2011-2012,85.33,98.08,
Pakenham,2012-2013,88.57,98.16,
Pakenham,2013-2014,88.87,98.64,
Pakenham,2014-2015,89.29,98.31,
Pakenham,2015-2016,87.85,98.22,
Pakenham,2016-2017,86.16,98.5,
Pakenham,2017-2018,87.55,98.39,
Pakenham,2018-2019,86.05,97.69,
Pakenham,2019-2020,88.99,97.86,
Pakenham,2020-2021,93.33,98.46,
Pakenham,2021-2022,92.58,95.4,3.88
Pakenham,2022-2023,92.21,97.27,2.38
Pakenham,2023-2024,92.93,98.24,1.41
Pakenham,2024-2025,93.93,98.21,1.44
Pakenham,2025-2026,95.85,98.58,1.12
Sandringham,2000-2001,95.17,98.91,
Sandringham,2001-2002,95.55,98.79,
Sandringham,2002-2003,96.85,99.27,
Sandringham,2003-2004,94.09,97.5,
Sandringham,2004-2005,90.63,97.54,
Sandringham,2005-2006,90.66,98.48,
Sandringham,2006-2007,88.61,98.44,
Sandringham,2007-2008,89.95,98.51,
Sandringham,2008-2009,90.95,98.13,
Sandringham,2009-2010,90.7,99.12,
Sandringham,2010-2011,90.6,98.49,
Sandringham,2011-2012,95.64,98.71,
Sandringham,2012-2013,96.39,98.68,
Sandringham,2013-2014,95.77,98.96,
Sandringham,2014-2015,95.38,99.03,
Sandringham,2015-2016,95.22,98.87,
Sandringham,2016-2017,95.44,98.89,
Sandringham,2017-2018,95.61,98.86,
Sandringham,2018-2019,95.32,98.98,
Sandringham,2019-2020,95.04,99.06,
Sandringham,2020-2021,97.68,99.29,
Sandringham,2021-2022,97.37,98.38,1.58
Sandringham,2022-2023,96.17,98.91,1.02
Sandringham,2023-2024,96.57,99.12,0.78
Sandringham,2024-2025,96.72,98.82,1.05
Sandringham,2025-2026,97.39,99.41,0.54
Stony Point,2000-2001,96.59,97.68,
Stony Point,2001-2002,97.15,99.15,
Stony Point,2002-2003,96.29,98.96,
Stony Point,2003-2004,96.06,96.74,
Stony Point,2004-2005,94.3,95.01,
Stony Point,2005-2006,93.65,93.78,
Stony Point,2006-2007,94.73,97.54,
Stony Point,2007-2008,94.42,96.11,
Stony Point,2008-2009,94.97,97.22,
Stony Point,2009-2010,95.39,97.2,
Stony Point,2010-2011,92.53,97.07,
Stony Point,2011-2012,97.06,97.93,
Stony Point,2012-2013,97.23,97.5,
